playerID,Starting Year,Last Year,Full Name,pos,MVP,height,weight,college,birthDate,deathDate,race,Year Inducted,Total GP,Total GS,Total Minutes,Total Points,Total Off. Rebounds,Total Def. Rebounds,Total Rebounds,Total Assists,Total Steals,Total Blocks,Total Turnovers,Total PF,Total FG Attempted,Total FG Made,Total FT Attempted,Total FT Made,Total Three Attempted,Total Three Made,Total FG Points,Total Three Made Points,Total FG %,Total FT %,Total Three %,Years Played,GP per Year,Minutes per Game,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game,PF per Game
abdulka01,1969,1988,Kareem Abdul-Jabbar,C,6,85.0,225.0,UCLA,4/16/1947,0000-00-00,B,1995.0,1797,0,66297,44149,3480,10667,19921,6427,1349,3665,2974,5444,32729,18193,10723,7762,22,1,36386,3,0.5558678847505271,0.7238645901333582,0.045454545454545456,20,89.85,36.89315525876461,24.56816917084029,1.9365609348914858,5.9360044518642185,11.08569838619922,3.5765164162493046,0.7506956037840846,2.0395102949360044,1.6549805230940455,3.0294936004451865
archina01,1970,1983,Nathaniel Archibald,G,0,73.0,150.0,UTEP,9/2/1948,0000-00-00,B,1991.0,923,0,32801,17148,359,1077,2123,6782,753,83,1245,2120,13184,6134,5996,4859,102,21,12268,63,0.4652609223300971,0.8103735823882589,0.20588235294117646,14,65.92857142857143,35.5373781148429,18.57854821235103,0.38894907908992415,1.1668472372697725,2.3001083423618636,7.347778981581799,0.8158179848320694,0.08992416034669556,1.3488624052004334,2.2968580715059588
arizipa01,1950,1961,Paul Joseph Arizin,F-G,0,74.0,190.0,Villanova,4/9/1928,12/12/2006,W,1978.0,762,0,26712,17452,0,0,6533,1793,0,0,0,2941,14355,6039,6628,5374,0,0,12078,0,0.4206896551724138,0.8108026554013277,,12,63.5,35.05511811023622,22.902887139107612,0.0,0.0,8.573490813648293,2.353018372703412,0.0,0.0,0.0,3.8595800524934383
barklch01,1984,1999,Charles Wade Barkley,F,1,77.0,250.0,Auburn,2/20/1963,0000-00-00,B,2006.0,1196,0,44179,26590,4770,9358,14128,4697,1841,996,3729,3696,17570,9444,9691,7100,2271,602,18888,1806,0.5375071143995447,0.7326385305953977,0.2650814619110524,16,74.75,36.93896321070234,22.232441471571907,3.988294314381271,7.8244147157190636,11.812709030100335,3.927257525083612,1.5392976588628762,0.8327759197324415,3.117892976588629,3.0903010033444818
barryri01,1965,1979,Richard Francis Dennis Barry,F,0,79.0,205.0,Miami (FL),3/28/1944,0000-00-00,W,1987.0,1125,0,42214,28149,1068,3824,7538,5408,1210,308,1496,3378,23738,10795,7118,6340,614,219,21590,657,0.45475608728620776,0.8906996347288564,0.3566775244299674,15,75.0,37.523555555555554,25.021333333333335,0.9493333333333334,3.399111111111111,6.700444444444445,4.807111111111111,1.0755555555555556,0.2737777777777778,1.3297777777777777,3.002666666666667
bayloel01,1958,1971,Elgin Gay Baylor,F,0,77.0,225.0,Seattle,9/16/1934,0000-00-00,B,1977.0,980,0,39373,26772,0,0,13188,4191,0,0,0,3031,23322,10081,8492,6610,0,0,20162,0,0.4322528085069891,0.7783796514366462,,14,70.0,40.176530612244896,27.318367346938775,0.0,0.0,13.457142857142857,4.276530612244898,0.0,0.0,0.0,3.092857142857143
bellawa01,1961,1974,Walter Jones Bellamy,C,0,82.5,225.0,Indiana,7/24/1939,0000-00-00,B,1993.0,1089,0,40879,21791,264,481,14921,2680,52,48,0,3696,16026,8237,8406,5317,0,0,16474,0,0.5139772869087732,0.6325243873423745,,14,77.78571428571429,37.538108356290174,20.01010101010101,0.24242424242424243,0.44168962350780533,13.70156106519743,2.4609733700642793,0.047750229568411386,0.0440771349862259,0.0,3.393939393939394
bingda01,1966,1977,David Bing,G,0,75.0,180.0,Syracuse,11/24/1943,0000-00-00,B,1990.0,932,0,33733,18804,436,784,3505,5530,498,93,216,2691,16221,7153,5810,4498,0,0,14306,0,0.44097158005055176,0.7741824440619621,,12,77.66666666666667,36.19420600858369,20.175965665236053,0.4678111587982833,0.8412017167381974,3.7607296137339055,5.9334763948497855,0.5343347639484979,0.09978540772532189,0.2317596566523605,2.8873390557939915
birdla01,1979,1991,Larry Joe Bird,F-G,3,81.0,220.0,Indiana State,12/7/1956,0000-00-00,W,1998.0,1061,0,41329,25688,2117,8540,10657,6757,1852,900,3322,2745,20424,10049,5483,4861,1976,729,20098,2187,0.4920191931061496,0.8865584534014226,0.3689271255060729,13,81.61538461538461,38.95287464655985,24.211121583411874,1.9952874646559848,8.049010367577758,10.044297832233742,6.36852026390198,1.7455230914231856,0.8482563619227145,3.1310084825636193,2.587181903864279
bradlbi01,1967,1976,William Warren Bradley,F-G,0,77.0,205.0,Princeton,7/28/1943,0000-00-00,W,1983.0,837,0,25960,10439,210,668,2687,2796,218,68,0,2676,9928,4437,1874,1565,0,0,8874,0,0.4469178082191781,0.8351120597652081,,10,83.7,31.01553166069295,12.471923536439666,0.25089605734767023,0.7980884109916367,3.2102747909199523,3.3405017921146953,0.26045400238948624,0.08124253285543608,0.0,3.197132616487455
