playerID,Starting Year,Last Year,Full Name,pos,MVP,height,weight,college,birthDate,deathDate,race,Year Inducted,Total GP,Total GS,Total Minutes,Total Points,Total Off. Rebounds,Total Def. Rebounds,Total Rebounds,Total Assists,Total Steals,Total Blocks,Total Turnovers,Total PF,Total FG Attempted,Total FG Made,Total FT Attempted,Total FT Made,Total Three Attempted,Total Three Made,Total FG Points,Total Three Made Points,Total FG %,Total FT %,Total Three %,Years Played,GP per Year,Minutes per Game,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game,PF per Game
abdelal01,1990,1994,Alaa Abdelnaby,F-C,0,82.0,240.0,Duke,6/24/1968,0000-00-00,B,,273,0,3306,1503,286,580,866,88,71,71,258,495,1276,638,325,227,3,0,1276,0,0.5,0.6984615384615385,0.0,5,54.6,12.10989010989011,5.5054945054945055,1.0476190476190477,2.1245421245421245,3.172161172161172,0.32234432234432236,0.2600732600732601,0.2600732600732601,0.945054945054945,1.8131868131868132
abdulka01,1969,1988,Kareem Abdul-Jabbar,C,6,85.0,225.0,UCLA,4/16/1947,0000-00-00,B,1995.0,1797,0,66297,44149,3480,10667,19921,6427,1349,3665,2974,5444,32729,18193,10723,7762,22,1,36386,3,0.5558678847505271,0.7238645901333582,0.045454545454545456,20,89.85,36.89315525876461,24.56816917084029,1.9365609348914858,5.9360044518642185,11.08569838619922,3.5765164162493046,0.7506956037840846,2.0395102949360044,1.6549805230940455,3.0294936004451865
abdulma01,1964,1973,Mahdi Abdul-Rahman,G,0,74.0,185.0,UCLA,4/15/1942,11/18/2011,B,,782,0,20778,9772,18,39,2315,3797,26,6,0,2203,8811,3865,2704,2042,0,0,7730,0,0.4386562251730791,0.7551775147928994,,10,78.2,26.570332480818415,12.49616368286445,0.023017902813299233,0.049872122762148335,2.9603580562659846,4.8554987212276215,0.03324808184143223,0.0076726342710997444,0.0,2.817135549872123
abdulma02,1990,2000,Mahmoud Abdul-Rauf,G,0,73.0,162.0,Louisiana State,3/9/1969,0000-00-00,B,,601,0,16043,8748,224,886,1110,2114,494,47,985,1143,8130,3583,1206,1094,1388,488,7166,1464,0.44071340713407137,0.9071310116086235,0.3515850144092219,11,54.63636363636363,26.693843594009984,14.555740432612312,0.37271214642262895,1.4742096505823628,1.8469217970049916,3.5174708818635607,0.8219633943427621,0.07820299500831947,1.6389351081530783,1.901830282861897
abdulta01,1997,2002,Tariq Abdul-Wahad,G-F,0,78.0,223.0,San Jose State,11/3/1974,0000-00-00,B,,249,0,4985,1898,303,514,817,277,188,87,313,499,1789,744,553,392,79,18,1488,54,0.4158747903856903,0.7088607594936709,0.22784810126582278,6,41.5,20.02008032128514,7.622489959839357,1.216867469879518,2.0642570281124497,3.281124497991968,1.1124497991967872,0.7550200803212851,0.3493975903614458,1.2570281124497993,2.004016064257028
abdulza01,1968,1977,Zaid Abdul-Aziz,C-F,0,81.0,230.0,Iowa State,4/7/1946,0000-00-00,B,,523,0,11233,4649,514,1151,4129,610,132,213,14,1132,4208,1806,1426,1037,0,0,3612,0,0.4291825095057034,0.7272089761570828,,10,52.3,21.478011472275334,8.889101338432122,0.982791586998088,2.2007648183556405,7.894837476099426,1.1663479923518165,0.25239005736137665,0.4072657743785851,0.02676864244741874,2.164435946462715
abdursh01,1996,2007,Julius Shareef Abdur-Rahim,F,0,81.0,225.0,California,12/11/1976,0000-00-00,B,,836,0,29007,15083,1877,4391,6268,2116,822,638,2147,2351,11558,5457,4958,4015,522,154,10914,462,0.4721405087385361,0.8098023396530859,0.2950191570881226,12,69.66666666666667,34.69736842105263,18.041866028708135,2.2452153110047846,5.252392344497608,7.497607655502392,2.5311004784688995,0.9832535885167464,0.7631578947368421,2.5681818181818183,2.812200956937799
abernto01,1976,1980,Thomas Craig Abernethy,F,0,79.0,220.0,Indiana,5/6/1954,0000-00-00,W,,332,0,5660,1847,388,665,1053,407,192,62,129,543,1526,746,472,355,2,0,1492,0,0.4888597640891219,0.7521186440677966,0.0,5,66.4,17.048192771084338,5.563253012048193,1.1686746987951808,2.003012048192771,3.1716867469879517,1.2259036144578312,0.5783132530120482,0.18674698795180722,0.3885542168674699,1.6355421686746987
ablefo01,1956,1956,Forest Edward Able,G,0,75.0,180.0,Western Kentucky,7/27/1932,0000-00-00,W,,1,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.0,,,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
abramjo01,1946,1947,John Abramovic,F,0,75.0,195.0,Salem,2/9/1919,6/9/2000,W,,94,0,0,731,0,0,0,37,0,0,0,267,855,280,242,171,0,0,560,0,0.32748538011695905,0.7066115702479339,,2,47.0,0.0,7.776595744680851,0.0,0.0,0.0,0.39361702127659576,0.0,0.0,0.0,2.8404255319148937
